name,lat,lon,population,state
Jefferson,38.3005,-88.924,37362,IL
Clinton,38.6065,-89.4225,37048,IL
Livingston,40.8916,-88.5577,35902,IL
Monroe,38.2785,-90.1773,34732,IL
Effingham,39.0598,-88.5899,34576,IL
Lee,41.7461,-89.3003,34373,IL
Christian,39.5458,-89.2773,34038,IL
Fulton,40.4728,-90.2075,34022,IL
Bureau,41.4041,-89.5286,33338,IL
Morgan,39.7156,-90.2015,33189,IL
Randolph,38.0521,-89.8252,30632,IL
Montgomery,39.231,-89.4789,28482,IL
Logan,40.1245,-89.3675,28238,IL
McDonough,40.4562,-90.6779,27743,IL
Iroquois,40.7473,-87.8243,27362,IL
Saline,37.7531,-88.5407,23869,IL
Jo Daviess,42.3658,-90.2126,21995,IL
Jersey,39.0855,-90.3565,21533,IL
Fayette,39.0002,-89.0241,21514,IL
Shelby,39.3911,-88.8055,21160,IL
Perry,38.0837,-89.367,21158,IL
Douglas,39.7694,-88.2174,19708,IL
Crawford,39.0027,-87.7596,18825,IL
Hancock,40.4037,-91.1647,17750,IL
Union,37.4713,-89.2551,17259,IL
Edgar,39.6786,-87.7456,16998,IL
Warren,40.8488,-90.615,16887,IL
Bond,38.8868,-89.4356,16804,IL
Piatt,40.0104,-88.5911,16664,IL
Wayne,38.4296,-88.4256,16250,IL
Richland,38.7124,-88.0851,15876,IL
Mercer,41.2053,-90.7414,15779,IL
De Witt,40.1746,-88.9041,15653,IL
Clark,39.3336,-87.7877,15587,IL
Carroll,42.0687,-89.9343,15586,IL
Lawrence,38.72,-87.7268,15465,IL
Pike,39.6225,-90.8863,14923,IL
Moultrie,39.6415,-88.6193,14634,IL
Massac,37.2189,-88.7076,14280,IL
White,38.0875,-88.1796,13959,IL
Washington,38.3522,-89.4105,13827,IL
Ford,40.5972,-88.2233,13589,IL
Clay,38.7542,-88.4902,13313,IL
Johnson,37.4597,-88.8809,13238,IL
Mason,40.2396,-89.9168,13225,IL
Cass,39.9735,-90.2474,13058,IL
Menard,40.0274,-89.8022,12343,IL
Greene,39.3562,-90.3905,12187,IL
Marshall,41.0332,-89.3448,11781,IL
Wabash,38.4461,-87.8443,11414,IL
Cumberland,39.2733,-88.2402,10528,IL
Jasper,39.0101,-88.1538,9324,IL
Hamilton,38.0815,-88.5391,8021,IL
Schuyler,40.158,-90.6151,6953,IL
Henderson,40.818,-90.9251,6485,IL
Brown,39.9618,-90.7504,6330,IL
Edwards,38.4165,-88.0533,6233,IL
Putnam,41.2045,-89.2858,5638,IL
Alexander,37.1915,-89.3375,5488,IL
Stark,41.0934,-89.7975,5436,IL
Pulaski,37.2232,-89.1266,5279,IL
Gallatin,37.7628,-88.2305,5038,IL
Scott,39.6441,-90.4747,4923,IL
Calhoun,39.1693,-90.6676,4537,IL
Pope,37.4127,-88.5615,3820,IL
Hardin,37.5182,-88.2668,3700,IL
Marion,39.7817,-86.1385,969542,IN
Lake,41.4167,-87.3821,495925,IN
Allen,41.0909,-85.0666,381839,IN
Hamilton,40.0725,-86.052,341616,IN
St. Joseph,41.6167,-86.2899,272049,IN
Elkhart,41.5974,-85.8587,206314,IN
Tippecanoe,40.3886,-86.8941,185961,IN
Vanderburgh,38.0249,-87.5859,179695,IN
Porter,41.4603,-87.0672,172353,IN
Hendricks,39.7695,-86.51,172100,IN
Johnson,39.49,-86.1016,159739,IN
Monroe,39.1609,-86.5231,140189,IN
Madison,40.1616,-85.7194,130037,IN
Clark,38.4772,-85.7073,120185,IN
Delaware,40.2275,-85.3969,112480,IN
LaPorte,41.546,-86.74,112184,IN
Vigo,39.4306,-87.39,106523,IN
Howard,40.4836,-86.117,83349,IN
Bartholomew,39.206,-85.8976,81759,IN
Kosciusko,41.2441,-85.8607,80151,IN
Floyd,38.3188,-85.907,79594,IN
Hancock,39.8236,-85.7733,78616,IN
Morgan,39.4816,-86.4462,71394,IN
Boone,40.0508,-86.4687,69839,IN
Grant,40.5158,-85.6547,66802,IN
Wayne,39.8644,-85.0098,66588,IN
Warrick,38.0922,-87.2721,63575,IN
Dearborn,39.1452,-84.9732,50494,IN
Henry,39.9311,-85.3964,48857,IN
Noble,41.3986,-85.4175,47293,IN
Marshall,41.3248,-86.2618,46175,IN
Jackson,38.9064,-86.0375,45948,IN
Lawrence,38.8412,-86.4835,45133,IN
Shelby,39.5237,-85.7917,44825,IN
Dubois,38.3643,-86.8798,43474,IN
DeKalb,41.3976,-84.9991,43059,IN
LaGrange,41.6426,-85.4265,40085,IN
Harrison,38.1951,-86.1114,39516,IN
Montgomery,40.0404,-86.8933,37967,IN
Cass,40.7615,-86.346,37918,IN
Putnam,39.6663,-86.845,36838,IN
Huntington,40.8292,-85.4881,36572,IN
Knox,38.6891,-87.418,36362,IN
Miami,40.7695,-86.045,36100,IN
Adams,40.7457,-84.9366,35685,IN
Steuben,41.6439,-85.0009,34379,IN
Whitley,41.1394,-85.5051,34048,IN
Daviess,38.7024,-87.072,33281,IN
Gibson,38.3119,-87.5846,33017,IN
Clinton,40.3017,-86.4751,33010,IN
Jasper,41.023,-87.1161,33006,IN
Jefferson,38.7858,-85.4385,33000,IN
Wabash,40.8456,-85.794,31120,IN
Greene,39.0363,-86.9621,30924,IN
Ripley,39.1035,-85.2624,28953,IN
Wells,40.7292,-85.2212,28103,IN
Washington,38.6,-86.1053,28025,IN
Jennings,38.9969,-85.628,27619,IN
Decatur,39.307,-85.5011,26466,IN
Clay,39.3928,-87.1158,26397,IN
Posey,38.0218,-87.8685,25301,IN
Randolph,40.1576,-85.0114,24681,IN
White,40.7498,-86.8655,24593,IN
Scott,38.6851,-85.7475,24290,IN
Fayette,39.64,-85.1788,23393,IN
Starke,41.2809,-86.6476,23275,IN
Franklin,39.4149,-85.0602,22769,IN
Owen,39.3128,-86.8377,21280,IN
Sullivan,39.0888,-87.4147,20814,IN
Jay,40.438,-85.0057,20570,IN
Fulton,41.047,-86.2635,20400,IN
Carroll,40.5828,-86.5635,20288,IN
Spencer,38.0141,-87.0077,19949,IN
Orange,38.5418,-86.495,19752,IN
Perry,38.0796,-86.638,19151,IN
Rush,39.62,-85.4658,16706,IN
Fountain,40.1209,-87.242,16422,IN
Parke,39.7736,-87.2064,16316,IN
Vermillion,39.8538,-87.464,15477,IN
Brown,39.1962,-86.2274,15444,IN
Tipton,40.3113,-86.0519,15290,IN
Newton,40.9558,-87.3976,13865,IN
Pulaski,41.0419,-86.6988,12496,IN
Pike,38.3988,-87.2322,12220,IN
Blackford,40.4736,-85.3248,12139,IN
Crawford,38.2924,-86.4517,10511,IN
Martin,38.708,-86.8031,9885,IN
Switzerland,38.8262,-85.0369,9870,IN
Benton,40.6063,-87.3109,8687,IN
Warren,40.3469,-87.3533,8430,IN
Union,39.6256,-84.9251,7098,IN
Ohio,38.9501,-84.9652,5931,IN
Polk,41.6854,-93.5734,488871,IA
Linn,42.079,-91.599,228567,IA
Scott,41.6371,-90.6232,174170,IA
Johnson,41.6715,-91.5881,151833,IA
Black Hawk,42.4701,-92.3088,131396,IA
Woodbury,42.3897,-96.0448,105102,IA
Dubuque,42.4688,-90.8825,98687,IA
Story,42.0362,-93.465,98106,IA
Dallas,41.6849,-94.0398,96604,IA
Pottawattamie,41.3366,-95.5423,93571,IA
Warren,41.3343,-93.5615,51862,IA
Clinton,41.898,-90.532,46589,IA
Cerro Gordo,43.0816,-93.2608,43185,IA
Muscatine,41.4839,-91.1127,43145,IA
Marshall,42.0358,-92.9988,40137,IA
Des Moines,40.9232,-91.1815,39069,IA
Jasper,41.686,-93.0538,37686,IA
Webster,42.4279,-94.1818,37114,IA
Sioux,43.0826,-96.1779,35647,IA
Wapello,41.0306,-92.4095,35343,IA
Lee,40.642,-91.4793,33724,IA
Marion,41.3344,-93.0994,33381,IA
Boone,42.0365,-93.9316,26721,IA
Benton,42.0802,-92.0657,25654,IA
Plymouth,42.7378,-96.2141,25543,IA
Bremer,42.7746,-92.3181,24863,IA
Washington,41.3356,-91.7179,22525,IA
Mahaska,41.3352,-92.6409,22132,IA
Carroll,42.0362,-94.8605,20756,IA
Buena Vista,42.7355,-95.1511,20723,IA
Jones,42.1212,-91.1315,20680,IA
Buchanan,42.4708,-91.8379,20598,IA
Henry,40.988,-91.5445,20488,IA
Winneshiek,43.2907,-91.8437,20100,IA
Fayette,42.8626,-91.8443,19582,IA
Jackson,42.1717,-90.5743,19499,IA
Poweshiek,41.6864,-92.5315,18628,IA
Cedar,41.7723,-91.1324,18494,IA
Dickinson,43.378,-95.1508,17536,IA
Delaware,42.4712,-91.3673,17508,IA
Clayton,42.8447,-91.3414,17173,IA
Tama,42.0798,-92.5326,17079,IA
Hardin,42.3839,-93.2404,16997,IA
Iowa,41.6863,-92.0655,16596,IA
Crawford,42.0372,-95.382,16555,IA
Madison,41.3307,-94.0156,16414,IA
Clay,43.0826,-95.1509,16410,IA
Jefferson,41.0318,-91.9489,15846,IA
Floyd,43.0599,-92.789,15672,IA
Page,40.7391,-95.1502,15250,IA
Hamilton,42.3838,-93.7068,15073,IA
Kossuth,43.2041,-94.2067,14823,IA
Mills,41.0334,-95.6213,14658,IA
Harrison,41.6829,-95.8168,14589,IA
Butler,42.7316,-92.7902,14421,IA
O'Brien,43.0838,-95.6249,14139,IA
Allamakee,43.2843,-91.3781,14068,IA
Cass,41.3315,-94.9278,13158,IA
Wright,42.7331,-93.7352,12978,IA
Grundy,42.4019,-92.7914,12336,IA
Appanoose,40.7432,-92.8686,12310,IA
Union,41.0277,-94.2424,12193,IA
Chickasaw,43.0601,-92.3177,12021,IA
Lyon,43.3805,-96.2102,11953,IA
Shelby,41.6851,-95.3102,11750,IA
Cherokee,42.7356,-95.6238,11606,IA
Louisa,41.2185,-91.2596,10891,IA
Hancock,43.0819,-93.7343,10837,IA
Winnebago,43.3776,-93.7342,10743,IA
Guthrie,41.6837,-94.5011,10599,IA
Mitchell,43.3564,-92.789,10526,IA
Montgomery,41.0302,-95.1563,10327,IA
Franklin,42.7325,-93.2625,10056,IA
Keokuk,41.3365,-92.1786,10050,IA
Calhoun,42.3852,-94.6404,9962,IA
Sac,42.3862,-95.1054,9829,IA
Clarke,41.029,-93.7852,9736,IA
Humboldt,42.7765,-94.2072,9622,IA
Howard,43.3568,-92.3172,9456,IA
Emmet,43.3781,-94.6785,9433,IA
Davis,40.7477,-92.4097,9066,IA
Palo Alto,43.0821,-94.6781,8996,IA
Greene,42.0363,-94.3968,8831,IA
Monona,42.0516,-95.9599,8732,IA
Lucas,41.0294,-93.3277,8650,IA
Decatur,40.7377,-93.7863,7718,IA
Monroe,41.0298,-92.869,7589,IA
Worth,43.3774,-93.2609,7450,IA
Adair,41.3307,-94.471,7439,IA
Van Buren,40.7532,-91.95,7196,IA
Pocahontas,42.7342,-94.6787,7091,IA
Ida,42.3869,-95.5135,6979,IA
Fremont,40.7456,-95.6047,6702,IA
Wayne,40.7395,-93.3274,6504,IA
Osceola,43.3786,-95.6237,6168,IA
Taylor,40.7374,-94.6964,5932,IA
Audubon,41.6846,-94.9058,5657,IA
Ringgold,40.7352,-94.244,4739,IA
Adams,41.029,-94.6992,3697,IA
Johnson,38.8838,-94.8223,605154,KS
Sedgwick,37.6848,-97.461,520467,KS
Shawnee,39.0415,-95.7565,179053,KS
Wyandotte,39.1146,-94.7646,168333,KS
Douglas,38.8847,-95.2926,118690,KS
Leavenworth,39.1993,-95.038,81601,KS
Riley,39.2966,-96.7352,72602,KS
Butler,37.7812,-96.839,67404,KS
Reno,37.953,-98.086,62071,KS
Saline,38.7838,-97.65,54378,KS
Crawford,37.5073,-94.8518,39018,KS
Finney,38.0443,-100.737,38338,KS
Geary,39.0024,-96.7525,36514,KS
Cowley,37.2377,-96.8375,34769,KS
Ford,37.6917,-99.888,34426,KS
Harvey,38.0432,-97.4272,34006,KS
Miami,38.5635,-94.8381,33968,KS
Lyon,38.4562,-96.1526,32318,KS
Montgomery,37.1925,-95.7429,31679,KS
McPherson,38.3917,-97.648,30059,KS
Ellis,38.9147,-99.3173,28893,KS
Franklin,38.5645,-95.2859,25953,KS
Barton,38.479,-98.7565,25708,KS
Pottawatomie,39.379,-96.3424,25082,KS
Sumner,37.2373,-97.4765,22603,KS
Seward,37.1933,-100.8513,22223,KS
Labette,37.1913,-95.2976,20222,KS
Cherokee,37.1693,-94.8463,19507,KS
Dickinson,38.8665,-97.1527,18572,KS
Jefferson,39.2358,-95.3834,18391,KS
Atchison,39.5318,-95.3135,16382,KS
Neosho,37.5585,-95.3068,15926,KS
Osage,38.6523,-95.7269,15811,KS
Bourbon,37.8552,-94.8493,14410,KS
Jackson,39.4168,-95.7937,13287,KS
Allen,37.8857,-95.3014,12557,KS
Marion,38.3589,-97.0969,11877,KS
Nemaha,39.7834,-96.0141,10197,KS
Marshall,39.7836,-96.5229,9995,KS
Linn,38.2123,-94.843,9667,KS
Brown,39.8265,-95.5642,9532,KS
Rice,38.3472,-98.201,9464,KS
Pratt,37.6477,-98.7396,9266,KS
Cloud,39.4803,-97.6492,9037,KS
Wilson,37.5593,-95.7434,8713,KS
Coffey,38.2369,-95.7341,8361,KS
Clay,39.3497,-97.1652,8085,KS
Thomas,39.3509,-101.0556,7902,KS
Anderson,38.2142,-95.2933,7800,KS
Doniphan,39.7881,-95.1468,7549,KS
Kingman,37.5589,-98.1363,7495,KS
Grant,37.5623,-101.308,7430,KS
Wabaunsee,38.9533,-96.205,6881,KS
Russell,38.9148,-98.7624,6747,KS
Ellsworth,38.6966,-98.2048,6403,KS
Pawnee,38.1813,-99.2367,6356,KS
Greenwood,37.8778,-96.2326,6049,KS
Sherman,39.3514,-101.72,5965,KS
Mitchell,39.3933,-98.2094,5884,KS
Ottawa,39.1325,-97.6502,5778,KS
Gray,37.7382,-100.4379,5720,KS
Washington,39.7842,-97.0875,5531,KS
Harper,37.1916,-98.0755,5525,KS
Norton,39.7844,-99.9035,5457,KS
Morris,38.6874,-96.6499,5377,KS
Stevens,37.1923,-101.3121,5320,KS
Scott,38.4822,-100.9069,5163,KS
Phillips,39.7846,-99.347,5022,KS
Rooks,39.3502,-99.325,4975,KS
Republic,39.8278,-97.6506,4707,KS
Barber,37.2289,-98.6848,4178,KS
Stafford,38.031,-98.7174,4106,KS
Meade,37.2382,-100.3662,4089,KS
Kearny,38.0003,-101.3199,4019,KS
Haskell,37.5622,-100.8712,3803,KS
Smith,39.7852,-98.7855,3588,KS
Osborne,39.3503,-98.7679,3512,KS
Chautauqua,37.15,-96.2454,3394,KS
Woodson,37.8867,-95.7401,3162,KS
Lincoln,39.0453,-98.2077,2952,KS
Jewell,39.7847,-98.2183,2927,KS
Edwards,37.8876,-99.3121,2911,KS
Rush,38.5231,-99.3092,2883,KS
Trego,38.9143,-99.8728,2825,KS
Decatur,39.7847,-100.4599,2792,KS
Logan,38.9173,-101.1484,2777,KS
Gove,38.9161,-100.483,2774,KS
Morton,37.1914,-101.7992,2744,KS
Ness,38.4794,-99.9162,2717,KS
Cheyenne,39.7859,-101.7319,2647,KS
Chase,38.302,-96.594,2583,KS
Hamilton,37.9991,-101.7912,2572,KS
Rawlins,39.7852,-101.0765,2531,KS
Elk,37.4537,-96.2441,2466,KS
Sheridan,39.3503,-100.4418,2459,KS
Kiowa,37.5582,-99.2861,2457,KS
Graham,39.3497,-99.8832,2444,KS
Wichita,38.4821,-101.3474,2150,KS
Stanton,37.563,-101.7842,2088,KS
Clark,37.2355,-99.8203,1994,KS
Hodgeman,38.0875,-99.8979,1851,KS
Comanche,37.1913,-99.2718,1809,KS
Wallace,38.9167,-101.7636,1529,KS
Lane,38.4813,-100.4664,1504,KS
Greeley,38.4806,-101.806,1257,KS
Jefferson,38.1872,-85.6591,780449,KY
Fayette,38.0423,-84.4587,321354,KY
Kenton,38.9334,-84.5333,168264,KY
Boone,38.9699,-84.7278,134599,KY
Warren,36.9936,-86.4238,133216,KY
Hardin,37.6979,-85.9634,110134,KY
Daviess,37.7318,-87.0873,102488,KY
Campbell,38.9465,-84.3795,93023,KY
Madison,37.7202,-84.278,92194,KY
Bullitt,37.9701,-85.6958,81729,KY
Christian,36.8942,-87.4904,72377,KY
Oldham,38.3994,-85.4483,67586,KY
McCracken,37.054,-88.7128,67394,KY
Pulaski,37.1039,-84.5773,64717,KY
Laurel,37.1107,-84.1178,62090,KY
Pike,37.4691,-82.3958,58914,KY
Scott,38.2915,-84.5839,56267,KY
Jessamine,37.8721,-84.5809,53016,KY
Franklin,38.2392,-84.877,51319,KY
Boyd,38.3596,-82.6878,48447,KY
Shelby,38.2155,-85.1948,47523,KY
Nelson,37.8052,-85.466,46440,KY
Hopkins,37.3088,-87.5408,45432,KY
Henderson,37.7958,-87.573,45102,KY
Barren,36.9656,-85.9337,44277,KY
Calloway,36.621,-88.2723,37291,KY
Graves,36.7231,-88.6512,36796,KY
Clark,37.9708,-84.1474,36716,KY
Whitley,36.7581,-84.1452,36578,KY
Floyd,37.5571,-82.7457,36127,KY
Greenup,38.5457,-82.9223,35996,KY
Marshall,36.8835,-88.3294,31662,KY
Muhlenberg,37.2158,-87.142,31011,KY
Boyle,37.6244,-84.8668,30469,KY
Knox,36.8906,-83.854,30367,KY
Meade,37.9697,-86.217,29735,KY
Perry,37.2443,-83.2215,28421,KY
Montgomery,38.0335,-83.9131,28084,KY
Logan,36.8597,-86.8789,27319,KY
Harlan,36.8569,-83.218,26921,KY
Carter,38.3182,-83.0495,26820,KY
Woodford,38.0424,-84.7436,26758,KY
Grayson,37.4608,-86.3439,26351,KY
Taylor,37.3665,-85.3279,25948,KY
Grant,38.6488,-84.6246,24918,KY
Bell,36.7306,-83.6741,24674,KY
Rowan,38.1963,-83.4211,24654,KY
Lincoln,37.4554,-84.6608,24314,KY
Ohio,37.4782,-86.8489,23861,KY
Anderson,38.0039,-84.991,23646,KY
Johnson,37.8466,-82.8315,22794,KY
Mercer,37.811,-84.8745,22470,KY
Letcher,37.1212,-82.8553,21784,KY
Allen,36.7513,-86.1904,20604,KY
Clay,37.1597,-83.7146,20484,KY
Breckinridge,37.7734,-86.4293,20345,KY
Bourbon,38.2067,-84.2171,20281,KY
Wayne,36.8013,-84.8286,19743,KY
Marion,37.5525,-85.2696,19556,KY
Simpson,36.742,-86.5822,19324,KY
Spencer,38.0325,-85.3278,19256,KY
Hart,37.2999,-85.8847,19194,KY
Adair,37.1042,-85.2806,18832,KY
Harrison,38.4418,-84.3314,18690,KY
Russell,36.9911,-85.0587,17909,KY
Mason,38.5952,-83.8242,17103,KY
McCreary,36.7371,-84.4842,17044,KY
Garrard,37.6396,-84.5377,17018,KY
Lawrence,38.0679,-82.7348,16274,KY
Rockcastle,37.3651,-84.316,16167,KY
Casey,37.3223,-84.9283,15863,KY
Henry,38.4485,-85.1189,15691,KY
Fleming,38.3701,-83.6967,14996,KY
Larue,37.5458,-85.6979,14768,KY
Pendleton,38.6956,-84.3603,14625,KY
Knott,37.354,-82.9541,14506,KY
Estill,37.6924,-83.9643,14157,KY
Trigg,36.8064,-87.8733,14067,KY
Union,37.6584,-87.9454,13786,KY
Morgan,37.9223,-83.2589,13772,KY
Breathitt,37.5216,-83.3241,13652,KY
Lewis,38.5315,-83.3781,13103,KY
Powell,37.8311,-83.8237,13050,KY
Jackson,37.4198,-84.0058,13029,KY
Webster,37.5184,-87.6832,12994,KY
Bath,38.145,-83.7427,12680,KY
Caldwell,37.1454,-87.8679,12641,KY
Butler,37.2073,-86.6816,12413,KY
Todd,36.8357,-87.1792,12206,KY
Edmonson,37.2088,-86.2384,12165,KY
Washington,37.7534,-85.1748,11957,KY
Magoffin,37.7065,-83.0649,11818,KY
Martin,37.8016,-82.5132,11394,KY
Monroe,36.7122,-85.7165,11269,KY
Owen,38.5197,-84.8281,11160,KY
Green,37.264,-85.5531,11141,KY
Carroll,38.6678,-85.1236,10808,KY
Leslie,37.0941,-83.3811,10622,KY
Metcalfe,36.9905,-85.6292,10275,KY
Clinton,36.7274,-85.1362,9372,KY
McLean,37.5292,-87.2636,9182,KY
Hancock,37.8415,-86.7779,9050,KY
Crittenden,37.3527,-88.0972,8997,KY
Livingston,37.2096,-88.3537,8989,KY
Lyon,37.0191,-88.0832,8700,KY
Gallatin,38.7569,-84.8593,8694,KY
Trimble,38.613,-85.3375,8502,KY
Bracken,38.6888,-84.0901,8394,KY
Ballard,37.0585,-88.9995,7814,KY
Nicholas,38.3356,-84.0153,7517,KY
Elliott,38.1179,-83.0976,7414,KY
Lee,37.5948,-83.7162,7263,KY
Wolfe,37.7393,-83.4932,6666,KY
Fulton,36.554,-89.1873,6507,KY
Menifee,37.9414,-83.5989,6149,KY
Cumberland,36.7866,-85.3885,6023,KY
Carlisle,36.8532,-88.971,4821,KY
Hickman,36.6781,-88.9762,4529,KY
Owsley,37.4192,-83.6831,4094,KY
Robertson,38.5188,-84.052,2196,KY
East Baton Rouge,30.5383,-91.0956,455447,LA
Jefferson,29.7872,-90.1274,439402,LA
Orleans,30.0687,-89.9288,383974,LA
St. Tammany,30.4102,-89.9583,262799,LA
Lafayette,30.2068,-92.0639,241173,LA
Caddo,32.5806,-93.8823,239775,LA
Calcasieu,30.2293,-93.3581,212646,LA
Ouachita,32.4784,-92.1549,160227,LA
Livingston,30.4401,-90.7279,141057,LA
Tangipahoa,30.6266,-90.4057,132492,LA
Rapides,31.1986,-92.5332,130459,LA
Bossier,32.6784,-93.6049,128508,LA
Ascension,30.2036,-90.9113,125289,LA
Terrebonne,29.4148,-90.8663,110100,LA
Lafourche,29.5661,-90.4256,97677,LA
St. Landry,30.599,-92.0058,82999,LA
Iberia,29.8965,-91.7301,70518,LA
Acadia,30.2906,-92.412,58200,LA
Vermilion,29.8466,-92.3237,57775,LA
St. Charles,29.9055,-90.3582,52411,LA
St. Martin,30.1291,-91.6083,52222,LA
St. Mary,29.7206,-91.4485,49818,LA
Vernon,31.1083,-93.1843,49064,LA
Lincoln,32.6016,-92.6649,48415,LA
Washington,30.8533,-90.0405,45794,LA
St. Bernard,29.8692,-89.5552,43821,LA
St. John the Baptist,30.1264,-90.4709,42704,LA
Avoyelles,31.0763,-92.0015,39880,LA
Natchitoches,31.7234,-93.0962,37896,LA
Webster,32.7135,-93.335,37356,LA
Beauregard,30.6486,-93.3432,36417,LA
Evangeline,30.7289,-92.406,32538,LA
Jefferson Davis,30.2677,-92.8141,32270,LA
Iberville,30.2586,-91.3495,30651,LA
West Baton Rouge,30.4636,-91.3127,27064,LA
De Soto,32.0554,-93.7373,26803,LA
Morehouse,32.8202,-91.8018,25852,LA
Plaquemines,29.4406,-89.61,23536,LA
Allen,30.653,-92.828,23085,LA
Sabine,31.564,-93.5547,22377,LA
Grant,31.5997,-92.5595,22236,LA
Assumption,29.9024,-91.0608,21366,LA
Union,32.8318,-92.3748,21272,LA
Pointe Coupee,30.7095,-91.6008,20951,LA
St. James,30.027,-90.7931,20390,LA
Richland,32.4178,-91.7635,20110,LA
Franklin,32.1333,-91.6738,19964,LA
East Feliciana,30.8451,-91.0455,19588,LA
Concordia,31.4459,-91.6401,18989,LA
West Feliciana,30.8798,-91.42,15334,LA
Jackson,32.302,-92.5578,15214,LA
LaSalle,31.6769,-92.1604,14770,LA
Claiborne,32.8227,-92.9958,14456,LA
Winn,31.9442,-92.6369,13875,LA
Bienville,32.3473,-93.0561,13130,LA
St. Helena,30.822,-90.7103,10881,LA
Madison,32.3644,-91.2427,10297,LA
West Carroll,32.7885,-91.4568,9959,LA
Caldwell,32.0925,-92.1166,9707,LA
Catahoula,31.6662,-91.847,9117,LA
Red River,32.0931,-93.3398,7787,LA
East Carroll,32.7325,-91.235,7502,LA
Cameron,29.8754,-93.1937,5650,LA
Tensas,32.0018,-91.3401,4269,LA
Cumberland,43.8465,-70.399,300776,ME
York,43.4782,-70.7144,210486,ME
Penobscot,45.4006,-68.6495,152211,ME
Kennebec,44.4091,-69.7673,123293,ME
Androscoggin,44.1658,-70.2065,110378,ME
Aroostook,46.6589,-68.5989,67272,ME
Oxford,44.4999,-70.7566,57807,ME
Hancock,44.6643,-68.3585,55417,ME
Somerset,45.5139,-69.9589,50424,ME
Knox,44.141,-69.1686,40519,ME
Waldo,44.5028,-69.1454,39618,ME
Sagadahoc,43.9598,-69.8546,36530,ME
Lincoln,44.0664,-69.5435,35065,ME
Washington,45.0307,-67.6287,31003,ME
Franklin,44.974,-70.444,29487,ME
Piscataquis,45.8373,-69.2846,16760,ME
Montgomery,39.1363,-77.2042,1057201,MD
Prince George's,38.8295,-76.8473,957767,MD
Baltimore,39.3051,-76.6144,592211,MD
Anne Arundel,39.0065,-76.6051,584064,MD
Howard,39.2507,-76.9312,329248,MD
Frederick,39.4722,-77.398,267498,MD
Harford,39.5611,-76.3171,259162,MD
Carroll,39.5629,-77.0225,172148,MD
Charles,38.5073,-76.9922,165209,MD
Washington,39.6036,-77.814,153956,MD
St. Mary's,38.3024,-76.6058,113209,MD
Cecil,39.5712,-75.9407,103370,MD
Wicomico,38.3733,-75.6208,103223,MD
Calvert,38.5434,-76.5687,92515,MD
Allegany,39.6214,-78.6976,68684,MD
Worcester,38.2128,-75.334,52322,MD
Queen Anne's,39.068,-76.0203,49702,MD
Talbot,38.7713,-76.0971,37510,MD
Caroline,38.8717,-75.8316,33234,MD
Dorchester,38.4829,-76.0125,32486,MD
Garrett,39.5289,-79.2729,28955,MD
Somerset,38.1158,-75.7518,24834,MD
Kent,39.2545,-76.0399,19335,MD
Middlesex,42.4856,-71.3918,1623411,MA
Worcester,42.3514,-71.9077,856858,MA
Essex,42.6732,-70.952,804598,MA
Suffolk,42.3333,-71.0719,792647,MA
Norfolk,42.1605,-71.2115,720403,MA
Bristol,41.7972,-71.1144,576070,MA
Plymouth,41.9512,-70.8114,527602,MA
Hampden,42.1351,-72.6316,466265,MA
Barnstable,41.7244,-70.2904,227942,MA
Hampshire,42.3402,-72.6638,161810,MA
Berkshire,42.3707,-73.2063,129089,MA
Franklin,42.5831,-72.5918,71085,MA
Dukes,41.3961,-70.6501,20277,MA
Nantucket,41.2831,-70.0692,13795,MA
Wayne,42.2819,-83.2822,1789781,MI
Oakland,42.6604,-83.3858,1271983,MI
Macomb,42.6957,-82.9323,879123,MI
Kent,43.0322,-85.5493,654958,MI
Genesee,43.0217,-83.7067,406400,MI
Washtenaw,42.2532,-83.8388,372428,MI
Ottawa,42.9598,-85.9961,293713,MI
Ingham,42.5971,-84.3735,285660,MI
Kalamazoo,42.2455,-85.5312,261280,MI
Livingston,42.6029,-83.9115,193234,MI
Saginaw,43.335,-84.0532,190540,MI
Muskegon,43.2912,-86.152,175633,MI
Jackson,42.2485,-84.4234,160765,MI
St. Clair,42.9341,-82.6806,160067,MI
Berrien,41.9547,-86.4123,154263,MI
Monroe,41.9291,-83.5394,154068,MI
Calhoun,42.2465,-85.0056,134207,MI
Allegan,42.5913,-85.8884,119418,MI
Eaton,42.5961,-84.8383,108972,MI
Bay,43.7074,-83.9922,104050,MI
Lenawee,41.8951,-84.0664,99346,MI
Grand Traverse,44.6688,-85.5605,94562,MI
Lapeer,43.0901,-83.2218,88644,MI
Midland,43.6468,-84.3881,83467,MI
Clinton,42.9437,-84.6015,78895,MI
Van Buren,42.2513,-86.0189,75550,MI
Shiawassee,42.9537,-84.1467,68203,MI
Ionia,42.9451,-85.0746,66564,MI
Montcalm,43.311,-85.1525,66430,MI
Marquette,46.4313,-87.6416,66380,MI
Isabella,43.6406,-84.8468,65623,MI
Barry,42.595,-85.309,62014,MI
St. Joseph,41.9144,-85.5278,60828,MI
Tuscola,43.4641,-83.4167,53288,MI
Cass,41.9154,-85.9935,51632,MI
Newaygo,43.5542,-85.8009,49653,MI
Hillsdale,41.8878,-84.5929,45673,MI
Branch,41.9161,-85.059,44677,MI
Gratiot,43.2927,-84.6049,41758,MI
