name,lat,lon,population,state
Logan,35.2149,-93.7166,21299,AR
Conway,35.2624,-92.7014,20687,AR
Yell,35.0025,-93.411,20489,AR
Hempstead,33.7354,-93.6684,20352,AR
Polk,34.4858,-94.2282,19476,AR
Ashley,33.1912,-91.7685,19362,AR
Randolph,36.3415,-91.0276,18442,AR
Grant,34.29,-92.4237,17912,AR
Drew,33.5894,-91.72,17511,AR
Arkansas,34.2892,-91.3742,17273,AR
Sharp,36.1612,-91.4798,17243,AR
Franklin,35.5124,-93.8906,17159,AR
Cross,35.2957,-90.7712,16935,AR
Phillips,34.4274,-90.8489,16923,AR
Jackson,35.5992,-91.2145,16878,AR
Marion,36.2684,-92.6842,16750,AR
Madison,36.011,-93.7246,16496,AR
Lawrence,36.0412,-91.107,16292,AR
Sevier,33.9972,-94.2412,16074,AR
Van Buren,35.5806,-92.5158,15851,AR
Clay,36.3682,-90.4176,14661,AR
Izard,36.0949,-91.9134,13653,AR
Lincoln,33.957,-91.7344,13092,AR
Howard,34.0889,-93.9936,12894,AR
Stone,35.8599,-92.1568,12364,AR
Little River,33.7009,-94.2352,12104,AR
Fulton,36.3816,-91.8182,12072,AR
Desha,33.8309,-91.2551,11530,AR
Bradley,33.4664,-92.1624,10597,AR
Chicot,33.267,-91.2937,10405,AR
Pike,34.1637,-93.6565,10234,AR
Perry,34.9475,-92.9312,10056,AR
Scott,34.8607,-94.0632,9928,AR
Lee,34.7805,-90.7808,8832,AR
Montgomery,34.539,-93.6594,8525,AR
Nevada,33.664,-93.3072,8340,AR
Prairie,34.8298,-91.5528,8306,AR
Searcy,35.9109,-92.6995,7872,AR
Cleveland,33.8984,-92.1851,7632,AR
Newton,35.92,-93.2179,7343,AR
Monroe,34.6778,-91.2039,6903,AR
Dallas,33.9699,-92.6544,6645,AR
Lafayette,33.2416,-93.607,6373,AR
Woodruff,35.1863,-91.2431,6333,AR
Calhoun,33.5581,-92.503,4811,AR
Los Angeles,34.3209,-118.2247,10019635,CA
San Diego,33.0343,-116.735,3296317,CA
Orange,33.7031,-117.7609,3182923,CA
Riverside,33.7436,-115.9938,2409331,CA
San Bernardino,34.8414,-116.1784,2171071,CA
Santa Clara,37.2318,-121.6951,1932022,CA
Alameda,37.6469,-121.8888,1673133,CA
Sacramento,38.4493,-121.3443,1571767,CA
Contra Costa,37.9192,-121.9277,1161643,CA
Fresno,36.7582,-119.6493,1003150,CA
Kern,35.3426,-118.7301,905644,CA
San Francisco,37.7558,-122.4449,865933,CA
Ventura,34.4561,-119.0836,845255,CA
San Joaquin,37.9348,-121.2714,771406,CA
San Mateo,37.4229,-122.329,762488,CA
Stanislaus,37.5591,-120.9977,550842,CA
Sonoma,38.5289,-122.8881,492498,CA
Tulare,36.2202,-118.8005,470999,CA
Solano,38.27,-121.9329,451432,CA
Santa Barbara,34.6729,-120.0169,447651,CA
Monterey,36.2171,-121.2388,438953,CA
Placer,39.0634,-120.7177,400330,CA
San Luis Obispo,35.3871,-120.4044,282771,CA
Merced,37.1919,-120.7177,279150,CA
Santa Cruz,37.0562,-122.0018,272138,CA
Marin,38.0735,-122.7235,262387,CA
Butte,39.6669,-121.6007,217884,CA
Yolo,38.6866,-121.9016,216703,CA
El Dorado,38.7787,-120.5247,190568,CA
Shasta,40.7637,-122.0405,181935,CA
Imperial,33.0395,-115.3653,180051,CA
Madera,37.218,-119.7627,156304,CA
Kings,36.0752,-119.8155,151887,CA
Napa,38.5065,-122.3305,138795,CA
Humboldt,40.6993,-123.8756,137014,CA
Nevada,39.3013,-120.7689,102090,CA
Sutter,39.0346,-121.6948,99080,CA
Mendocino,39.4402,-123.3915,91534,CA
Yuba,39.269,-121.3513,80404,CA
Lake,39.0996,-122.7532,67749,CA
Tehama,40.1256,-122.2341,65345,CA
San Benito,36.6057,-121.075,63329,CA
Tuolumne,38.0276,-119.9548,55243,CA
Calaveras,38.2046,-120.5541,45349,CA
Siskiyou,41.5927,-122.5404,44151,CA
Amador,38.4464,-120.6511,40095,CA
Lassen,40.6736,-120.5943,32949,CA
Glenn,39.5981,-122.3919,28675,CA
Del Norte,41.7431,-123.8972,27655,CA
Colusa,39.1775,-122.237,21780,CA
Plumas,40.0046,-120.8385,19631,CA
Inyo,36.5111,-117.4107,18804,CA
Mariposa,37.5815,-119.9054,17225,CA
Trinity,40.6507,-123.1126,15818,CA
Mono,37.9391,-118.8868,13291,CA
Modoc,41.5898,-120.725,8723,CA
Sierra,39.5803,-120.5161,3079,CA
Alpine,38.5972,-119.8207,1344,CA
El Paso,38.8321,-104.5254,722736,CO
Denver,39.762,-104.8758,706799,CO
Arapahoe,39.6498,-104.3393,651621,CO
Jefferson,39.5864,-105.2505,580130,CO
Adams,39.8736,-104.3379,514969,CO
Larimer,40.6664,-105.4612,354670,CO
Douglas,39.3297,-104.9296,351929,CO
Boulder,40.0925,-105.3577,328713,CO
Weld,40.5548,-104.3925,322424,CO
Pueblo,38.1735,-104.5127,167453,CO
Mesa,39.0183,-108.4664,154685,CO
Broomfield,39.9541,-105.0527,72697,CO
Garfield,39.5993,-107.904,61221,CO
Eagle,39.6279,-106.6954,55693,CO
La Plata,37.2866,-107.8433,55673,CO
Fremont,38.4731,-105.4395,49007,CO
Montrose,38.4022,-108.2693,42328,CO
Delta,38.8614,-107.8629,31133,CO
Summit,39.6342,-106.1164,31042,CO
Morgan,40.2626,-103.8097,28868,CO
Montezuma,37.3386,-108.5966,25916,CO
Elbert,39.2866,-104.1359,25897,CO
Routt,40.4851,-106.9913,24899,CO
Teller,38.8824,-105.1617,24607,CO
Logan,40.7247,-103.1101,21765,CO
Chaffee,38.747,-106.1941,19436,CO
Otero,37.9026,-103.7165,18665,CO
Pitkin,39.2171,-106.9166,17471,CO
Park,39.1194,-105.7172,17384,CO
Gunnison,38.6668,-107.0316,16851,CO
Alamosa,37.5729,-105.7883,16377,CO
Grand,40.1026,-106.1183,15629,CO
Las Animas,37.3158,-104.0387,14531,CO
Archuleta,37.1935,-107.0483,13267,CO
Moffat,40.6184,-108.2074,13240,CO
Prowers,37.9552,-102.3934,11966,CO
Rio Grande,37.5825,-106.3832,11476,CO
Yuma,40.0029,-102.4243,9944,CO
Clear Creek,39.6891,-105.6444,9427,CO
San Miguel,38.0038,-108.4057,8084,CO
Conejos,37.2007,-106.1916,7579,CO
Lake,39.2025,-106.3448,7417,CO
Kit Carson,39.3055,-102.603,7071,CO
Huerfano,37.6847,-104.9606,6787,CO
Rio Blanco,39.9798,-108.2171,6495,CO
Saguache,38.0805,-106.2815,6369,CO
Crowley,38.3266,-103.7845,6018,CO
Bent,37.9551,-103.0717,5861,CO
Gilpin,39.8575,-105.5226,5812,CO
Lincoln,38.9881,-103.514,5630,CO
Ouray,38.1555,-107.7693,4850,CO
Washington,39.971,-103.2012,4834,CO
Custer,38.1087,-105.3675,4720,CO
Phillips,40.594,-102.3576,4497,CO
Baca,37.3192,-102.5605,3519,CO
Costilla,37.2781,-105.4282,3517,CO
Sedgwick,40.8759,-102.3518,2459,CO
Dolores,37.7517,-108.5174,2288,CO
Cheyenne,38.8279,-102.6036,1691,CO
Kiowa,38.4326,-102.7402,1414,CO
Jackson,40.6664,-106.3428,1375,CO
Hinsdale,37.8213,-107.3003,858,CO
Mineral,37.6689,-106.9241,794,CO
San Juan,37.764,-107.6762,698,CO
Fairfield,41.271,-73.3893,956446,CT
Hartford,41.8064,-72.7329,898636,CT
New Haven,41.4106,-72.9321,864751,CT
New London,41.4867,-72.1014,269131,CT
Litchfield,41.7925,-73.2453,185175,CT
Middlesex,41.4632,-72.5351,164568,CT
Tolland,41.855,-72.3365,150120,CT
Windham,41.83,-71.9874,116503,CT
New Castle,39.5768,-75.6527,567769,DE
Sussex,38.6606,-75.39,234045,DE
Kent,39.086,-75.5686,180078,DE
District of Columbia,38.9047,-77.0163,683154,DC
Miami-Dade,25.615,-80.5623,2690113,FL
Broward,26.1523,-80.4871,1934551,FL
Palm Beach,26.6476,-80.4655,1481233,FL
Hillsborough,27.9291,-82.3091,1444359,FL
Orange,28.5145,-81.3236,1409949,FL
Duval,30.3316,-81.6708,983153,FL
Pinellas,27.92,-82.7256,957989,FL
Lee,26.5779,-81.8337,752251,FL
Polk,27.9489,-81.6976,713148,FL
Brevard,28.2937,-80.7323,601573,FL
Pasco,28.3091,-82.3932,551598,FL
Volusia,29.0584,-81.1819,548783,FL
Seminole,28.717,-81.2363,467382,FL
Sarasota,27.1845,-82.3315,429336,FL
Manatee,27.4719,-82.3153,394824,FL
Osceola,28.0627,-81.1494,380331,FL
Lake,28.7615,-81.7113,375059,FL
Collier,26.1108,-81.3475,372797,FL
Marion,29.2102,-82.0567,370372,FL
St. Lucie,27.3773,-80.472,324599,FL
Escambia,30.669,-87.363,318828,FL
Leon,30.458,-84.2779,290965,FL
Alachua,29.6747,-82.3577,276171,FL
St. Johns,29.9016,-81.4407,265724,FL
Clay,29.9831,-81.8579,216308,FL
Okaloosa,30.6913,-86.5917,209230,FL
Hernando,28.5535,-82.4245,192128,FL
Charlotte,26.9055,-81.9123,184837,FL
Santa Rosa,30.7004,-87.0219,184345,FL
Bay,30.2652,-85.6203,181384,FL
Martin,27.0775,-80.4315,158323,FL
Indian River,27.6943,-80.6062,158002,FL
Citrus,28.8489,-82.4794,151888,FL
Sumter,28.7048,-82.081,127335,FL
Flagler,29.4614,-81.3136,113888,FL
Highlands,27.3433,-81.341,101174,FL
Nassau,30.6107,-81.8017,88492,FL
Monroe,25.3187,-81.1087,82244,FL
Walton,30.6436,-86.1697,73456,FL
Putnam,29.6087,-81.7443,73147,FL
Columbia,30.2242,-82.6215,69265,FL
Jackson,30.7954,-85.2155,48067,FL
Gadsden,30.5795,-84.6136,44233,FL
Suwannee,30.1956,-82.9915,43514,FL
Levy,29.3184,-82.7436,42392,FL
Okeechobee,27.3864,-80.8886,39716,FL
Hendry,26.5535,-81.1659,39439,FL
DeSoto,27.1863,-81.8094,34027,FL
